1. Giá trị dự kiến (Perceived Usefulness) [1. Tôi sẽ hoàn thành công việc nhanh hơn khi sử dụng AI.];1. Giá trị dự kiến (Perceived Usefulness) [2. Sử dụng AI sẽ cải thiện kết quả công việc của tôi.];1. Giá trị dự kiến (Perceived Usefulness) [3. Sử dụng AI trong công việc sẽ giúp tăng năng suất lao động. (Năng suất phản ánh khối lượng công việc có thể làm trong một giờ lao động)];1. Giá trị dự kiến (Perceived Usefulness) [4. Sử dụng AI sẽ giúp tôi nâng cao hiệu quả công việc. (Hiệu quả là khả năng hoàn thành đúng công việc được giao và tạo ra nhiều giá trị nhất có thể so với mục tiêu được đề ra ban đầu)];1. Giá trị dự kiến (Perceived Usefulness) [5. Tôi sẽ làm việc dễ dàng hơn khi sử dụng AI.];1. Giá trị dự kiến (Perceived Usefulness) [6. Tôi cảm thấy việc sử dụng AI sẽ hữu ích đối với công việc của mình.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [1. Tôi cảm thấy việc học cách sử dụng AI khá dễ dàng.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [2. Tôi cảm thấy việc điều khiển AI theo ý muốn khá dễ dàng.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [3. Tôi cảm thấy việc tương tác với AI rất dễ hiểu.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [4. Tôi cảm thấy AI có thể tương tác linh hoạt.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [5. Tôi cảm thấy việc sử dụng thành thạo AI khá dễ dàng.];2. Độ dễ dàng sử dụng dự kiến (Perceived Ease of Use) [6. Tôi cảm thấy các ứng dụng AI dễ sử dụng.];3. Dự định sử dụng (Intended Use) [Tôi sẽ tiếp tục sử dụng AI trong tương lai ];3. Dự định sử dụng (Intended Use) [Tôi sẽ luôn cố gắng sử dụng AI trong cuộc sống hàng ngày];3. Dự định sử dụng (Intended Use) [Tôi có kế hoạch sẽ sử dụng AI thường xuyên];3. Dự định sử dụng (Intended Use) [Tôi sẽ giới thiệu AI cho bạn bè của mình];4. Quy mô của cộng đồng (Community Size) [1. Tôi có để ý tới bài đăng/bình luận trong cộng đồng.];4. Quy mô của cộng đồng (Community Size) [2. Có rất nhiều người dùng tham gia cộng đồng này.];5. Cơ cấu của cộng đồng (Community Structure) [1. Có nhiều người dùng đăng tải bài viết và bình luận trong cộng đồng này.];5. Cơ cấu của cộng đồng (Community Structure) [2. Hầu hết các bài đăng và bình luận được tạo ra bởi chỉ 1 vài người dùng tích cực hoạt động trong cộng đồng.];6. Người dùng dẫn đầu (Community Lead user) [1. Các bài viết và bình luận trong cộng đồng được đăng tải bởi các chuyên gia trong lĩnh vực.];6. Người dùng dẫn đầu (Community Lead user) [2. Các bài viết và bình luận trong cộng đồng được đăng tải bởi những người đáng tin cậy.];7. Môi trường cộng đồng (Community Environment) [1. Các nền tảng cộng đồng trực tuyến nhìn chung hoạt động rất hiệu quả.];7. Môi trường cộng đồng (Community Environment) [2. Các nền tảng cộng đồng trực tuyến được thiết kế hiệu quả.];7. Môi trường cộng đồng (Community Environment) [3. Chất lượng của các nền tảng cộng đồng trực tuyến thường rất cao.];7. Môi trường cộng đồng (Community Environment) [4. Người dùng trên các nền tảng cộng đồng trực tuyến thường rất tử tế.];7. Môi trường cộng đồng (Community Environment) [5. Tôi gặp được những người hay ho trên các nền tảng cộng đồng trực tuyến.];7. Môi trường cộng đồng (Community Environment) [6. Tôi thường có cảm tình với những người mà tôi gặp được các nền tảng cộng đồng trực tuyến.]
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;4;4;6;4;6;5;6;4;5;6;5;6;4;6;5;6;4;6;5;6;5;5;6;5;5;6;6
3;4;4;3;4;3;2;3;4;2;3;2;4;3;3;2;3;4;3;4;3;2;2;3;2;2;3;3
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;4;4;6;4;6;5;6;4;5;6;5;6;4;6;5;6;4;6;5;6;5;5;6;5;5;6;6
3;4;4;3;4;3;2;3;4;2;3;2;4;3;3;2;3;4;3;4;3;2;2;3;2;2;3;3
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;4;4;6;4;6;5;6;4;5;6;5;6;4;6;5;6;4;6;5;6;5;5;6;5;5;6;6
3;4;4;3;4;3;2;3;4;2;3;2;4;3;3;2;3;4;3;4;3;2;2;3;2;2;3;3
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;4;4;6;4;6;5;6;4;5;6;5;6;4;6;5;6;4;6;5;6;5;5;6;5;5;6;6
3;4;4;3;4;3;2;3;4;2;3;2;4;3;3;2;3;4;3;4;3;2;2;3;2;2;3;3
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;4;4;6;4;6;5;6;4;5;6;5;6;4;6;5;6;4;6;5;6;5;5;6;5;5;6;6
3;4;4;3;4;3;2;3;4;2;3;2;4;3;3;2;3;4;3;4;3;2;2;3;2;2;3;3
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;4;4;6;4;6;5;6;4;5;6;5;6;4;6;5;6;4;6;5;6;5;5;6;5;5;6;6
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
4;5;5;4;5;4;3;4;5;3;4;3;5;4;4;3;4;5;4;5;4;3;3;4;3;3;4;4
6;7;7;6;7;6;5;6;7;5;6;5;7;6;6;5;6;7;6;7;6;5;5;6;5;5;6;6
5;6;6;5;6;5;4;5;6;4;5;4;6;5;5;4;5;6;5;6;5;4;4;5;4;4;5;5
7;5;5;7;5;7;6;7;5;6;7;6;7;5;7;6;7;5;7;6;7;6;6;7;6;6;7;7
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
7;6;6;7;6;7;4;3;2;4;3;2;7;6;6;7;6;7;4;3;2;4;3;2;7;6;7;6
6;7;7;6;7;6;5;4;3;5;4;3;6;7;7;6;7;6;5;4;3;5;4;3;6;7;6;7
5;6;6;5;6;5;3;2;1;3;2;1;5;6;6;5;6;5;3;2;1;3;2;1;5;6;5;6
4;5;5;4;5;4;2;1;2;1;2;1;4;5;5;4;5;4;2;1;2;1;2;1;4;5;4;5
